10000
(4012,1996,50)
(339,4454,6)
(7464,546,95)
(9253,4579,2)
(3364,5526,59)
(2900,7464,91)
(4839,3189,48)
(5818,7159,7)
(4168,6062,100)
(4953,9243,46)
(9279,1152,57)
(5222,1655,28)
(3440,3644,8)
(7530,8375,91)
(1009,8838,66)
(3591,8021,73)
(2698,638,45)
(356,2802,82)
(9448,3219,3)
(8882,4530,82)
(6898,6487,71)
(300,6413,2)
(550,7579,79)
(5409,6337,33)
(4051,3241,29)
(8981,9402,89)
(168,2081,8)
(4290,8102,93)
(9179,6820,24)
(6014,6834,22)
(4769,478,96)
(5152,4254,100)
(9845,4063,11)
(5525,4993,75)
(3464,1615,2)
(4684,1101,18)
(7844,6314,53)
(7547,7947,75)
(5937,4398,54)
(7391,3905,28)
(1245,1631,51)
(5159,2412,11)
(3847,5780,9)
(8261,8198,31)
(8911,7112,71)
(3827,5134,98)
(6728,1126,27)
(6099,4916,60)
(7007,2924,15)
(9784,1073,10)
(7084,7980,1)
(4984,6674,93)
(1294,5637,15)
(6170,5334,31)
(188,1012,57)
(1682,7563,88)
(9934,8705,93)
(699,3828,88)
(266,7707,89)
(9251,1971,41)
(8426,6503,98)
(4212,4459,75)
(6264,2340,19)
(1445,6653,76)
(3614,4832,74)
(2826,8746,70)
(6990,3948,42)
(265,7915,16)
(5439,334,75)
(4003,2518,56)
(5894,8707,57)
(3310,5977,42)
(1215,6085,25)
(6655,7415,54)
(337,9528,25)
(1264,6837,13)
(237,6578,96)
(5984,5219,10)
(7474,9586,81)
(5387,5333,9)
(4349,3164,70)
(7607,5948,69)
(7125,5324,34)
(1914,789,96)
(3245,2575,93)
(8615,1337,91)
(5599,3470,90)
(6322,4562,24)
(6284,26,51)
(8715,1069,6)
(6572,810,72)
(5127,7272,37)
(2026,1120,93)
(553,3942,71)
(1471,5363,56)
(5794,3663,77)
(7930,8448,39)
(4525,3991,83)
(707,6039,42)
(4042,1742,64)
(5286,1724,51)
(9166,6219,90)
(9076,1662,26)
(1705,4007,73)
(2139,4725,95)
(9290,7080,22)
(6341,4331,15)
(8289,9542,98)
(7213,5579,63)
(8026,6030,43)
(611,7360,78)
(1179,2817,5)
(467,7465,78)
(7126,2087,64)
(7570,8283,33)
(9036,9358,93)
(5671,1150,53)
(4026,807,4)
(1752,7146,79)
(2701,8974,14)
(6779,6411,10)
(9606,1910,85)
(1969,4825,64)
(6328,7075,75)
(4852,3428,1)
(2081,774,38)
(8732,1881,9)
(9473,6610,97)
(3462,1641,31)
(3472,9297,51)
(728,7332,28)
